web-scraper-order,web-scraper-start-url,Date,Open,High,Low,Close*,name
"1620589824-1017","https://finance.yahoo.com/quote/AAPL/history?period1=1293840000&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","May 05, 2016","0.1425 Dividend","null","null","null","Apple Inc. (AAPL)"
"1620589835-1287","https://finance.yahoo.com/quote/FB/history?period1=1337385600&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Apr 01, 2016","113.75","120.79","106.31","117.58","Facebook, Inc. (FB)"
"1620589819-928","https://finance.yahoo.com/quote/NFLX/history?period1=1293840000&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Jul 01, 2011","37.44","43.54","35.92","38.00","Netflix, Inc. (NFLX)"
"1620589819-817","https://finance.yahoo.com/quote/NFLX/history?period1=1293840000&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Sep 01, 2020","532.60","557.39","458.60","500.03","Netflix, Inc. (NFLX)"
"1620589824-1097","https://finance.yahoo.com/quote/AAPL/history?period1=1293840000&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Feb 01, 2011","12.19","13.03","12.06","12.61","Apple Inc. (AAPL)"
"1620589835-1293","https://finance.yahoo.com/quote/FB/history?period1=1337385600&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Oct 01, 2015","90.05","105.12","88.36","101.97","Facebook, Inc. (FB)"
"1620589814-753","https://finance.yahoo.com/quote/GOOG/history?period1=1293840000&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","May 01, 2015","538.43","544.19","521.09","532.11","Alphabet Inc. (GOOG)"
"1620589814-781","https://finance.yahoo.com/quote/GOOG/history?period1=1293840000&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Mar 01, 2013","397.41","420.42","395.17","395.61","Alphabet Inc. (GOOG)"
"1620589824-958","https://finance.yahoo.com/quote/AAPL/history?period1=1293840000&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Feb 01, 2020","76.07","81.81","64.09","68.34","Apple Inc. (AAPL)"
"1620589824-1062","https://finance.yahoo.com/quote/AAPL/history?period1=1293840000&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Aug 08, 2013","0.108929 Dividend","null","null","null","Apple Inc. (AAPL)"
"1620589830-1119","https://finance.yahoo.com/quote/AMZN/history?period1=1293840000&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Oct 01, 2019","1,746.00","1,798.85","1,685.06","1,776.66","Amazon.com, Inc. (AMZN)"
"1620589835-1232","https://finance.yahoo.com/quote/FB/history?period1=1337385600&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Nov 01, 2020","264.60","297.38","257.34","276.97","Facebook, Inc. (FB)"
