web-scraper-order,web-scraper-start-url,Date,Open,High,Low,Close*,Adj Close**,Volume,Empresa
1615774484-2636,https://finance.yahoo.com/quote/AAPL/history?p=AAPL,"Jan 06, 2021",127.72,131.05,126.38,126.6,126.41,"155,088,000",Apple
1615774484-2763,https://finance.yahoo.com/quote/AAPL/history?p=AAPL,"Jul 10, 2020",95.33,95.98,94.71,95.92,95.44,"90,257,200",Apple
1615774484-2628,https://finance.yahoo.com/quote/AAPL/history?p=AAPL,"Jan 19, 2021",127.78,128.71,126.94,127.83,127.64,"90,757,300",Apple
1615774484-2697,https://finance.yahoo.com/quote/AAPL/history?p=AAPL,"Oct 09, 2020",115.28,117,114.92,116.97,116.59,"100,506,900",Apple
1615774484-2785,https://finance.yahoo.com/quote/AAPL/history?p=AAPL,"Jun 09, 2020",83.04,86.4,83,86,85.57,"147,712,400",Apple
1615774484-2754,https://finance.yahoo.com/quote/AAPL/history?p=AAPL,"Jul 23, 2020",97,97.08,92.01,92.85,92.38,"197,004,400",Apple
1615774484-2656,https://finance.yahoo.com/quote/AAPL/history?p=AAPL,"Dec 07, 2020",122.31,124.57,122.25,123.75,123.57,"86,712,000",Apple
1615774484-2629,https://finance.yahoo.com/quote/AAPL/history?p=AAPL,"Jan 15, 2021",128.78,130.22,127,127.14,126.95,"111,598,500",Apple
1615774484-2737,https://finance.yahoo.com/quote/AAPL/history?p=AAPL,"Aug 14, 2020",114.83,115,113.04,114.91,114.54,"165,565,200",Apple
1615774484-2688,https://finance.yahoo.com/quote/AAPL/history?p=AAPL,"Oct 22, 2020",117.45,118.04,114.59,115.75,115.38,"101,988,000",Apple
1615774484-2748,https://finance.yahoo.com/quote/AAPL/history?p=AAPL,"Jul 31, 2020",102.89,106.42,100.82,106.26,105.73,"374,336,800",Apple
1615774484-2770,https://finance.yahoo.com/quote/AAPL/history?p=AAPL,"Jun 30, 2020",90.02,91.5,90,91.2,90.74,"140,223,200",Apple
1615774484-2780,https://finance.yahoo.com/quote/AAPL/history?p=AAPL,"Jun 16, 2020",87.86,88.3,86.18,88.02,87.58,"165,428,800",Apple
1615774484-2639,https://finance.yahoo.com/quote/AAPL/history?p=AAPL,"Dec 31, 2020",134.08,134.74,131.72,132.69,132.49,"99,116,600",Apple
1615774484-2755,https://finance.yahoo.com/quote/AAPL/history?p=AAPL,"Jul 22, 2020",96.69,97.97,96.6,97.27,96.79,"89,001,600",Apple
1615774484-2728,https://finance.yahoo.com/quote/AAPL/history?p=AAPL,"Aug 27, 2020",127.14,127.49,123.83,125.01,124.61,"155,552,400",Apple
